"P39_NL","P39_L","P33_NL","P33_L","P22_NL","P22_L","P19_NL","P19_L","P65_NL","P65_L"
"OR11H12",0,0,0,0,0,0,0,0,0,0
"OR11H13P",0,0,0,0,0,0,0,0,0,0
"OR11H2",0,0,0,0,0,0,0,0,0,0
"OR11H3P",0,0,0,0,0,0,0,0,0,0
"OR11H4",0,0,0,1,0,0,0,1,0,0
"OR11H5P",0,0,0,0,0,0,0,0,0,0
"OR11H6",0,0,0,0,0,0,0,1,0,0
"OR11H7",0,0,1,0,0,0,0,1,2,1
"OR11I1P",0,0,0,0,0,0,0,0,0,0
"OR11J2P",0,0,0,0,0,0,0,0,0,0
"OR11J5P",0,0,0,0,0,0,0,0,0,0
"OR11J6P",0,0,0,0,0,0,0,0,0,0
"OR11J7P",0,0,0,0,0,0,0,0,0,0
"OR11K1P",0,0,0,0,0,0,0,0,0,0
"OR11K2P",0,0,0,0,0,0,0,0,0,0
"OR11L1",0,0,0,0,0,0,0,0,0,0
"OR11M1P",0,0,1,0,0,0,0,0,0,0
"OR11N1P",0,0,0,0,0,0,0,0,0,0
"OR11P1P",0,0,0,0,0,0,0,0,0,0
"OR11Q1P",0,0,0,0,0,0,0,0,0,0
"OR12D1",0,0,0,0,0,0,0,0,0,0
"OR12D2",0,0,0,0,0,0,0,0,0,0
"OR12D3",0,0,1,1,0,0,0,0,0,0
"OR13A1",0,0,2,3,0,0,4,2,0,2
"OR13C1P",1,0,0,0,0,0,0,0,0,0
"OR13C2",0,0,0,0,0,0,0,0,0,0
"OR13C3",0,0,0,0,0,0,0,0,0,0
"OR13C4",0,0,0,0,0,0,0,0,0,0
"OR13C5",0,0,0,0,0,0,0,0,0,0
"OR13C6P",0,0,0,0,0,0,0,0,0,0
"OR13C7",0,0,0,0,0,0,0,0,0,0
"OR13C8",0,0,0,0,0,0,0,0,0,0
"OR13C9",0,0,0,0,0,0,0,0,0,0
"OR13D1",0,0,0,0,0,0,0,0,0,0
"OR13D2P",0,0,0,0,0,0,0,0,0,0
"OR13D3P",0,0,0,0,0,0,0,0,0,0
"OR13E1P",0,0,0,0,0,0,0,0,2,0
"OR13F1",0,0,1,0,0,0,0,0,0,0
"OR13G1",0,0,0,0,0,0,0,0,0,0
"OR13H1",0,0,0,0,0,0,0,0,0,0
"OR13I1P",0,0,8,1,0,0,0,0,0,0
"OR13J1",1,0,4,0,0,0,5,1,1,1
"OR13K1P",3,0,18,9,1,0,1,3,3,2
"OR13Z1P",0,0,2,0,0,0,0,0,1,0
"OR13Z2P",0,0,0,0,0,0,0,0,0,0
"OR13Z3P",0,0,0,0,0,0,0,0,0,0
"OR14A16",0,0,0,0,0,0,0,0,0,0
"OR14A2",0,0,0,0,0,1,0,0,0,0
"OR14C36",0,0,0,0,0,0,0,0,0,0
"OR14I1",0,0,0,0,0,0,0,1,0,1
"OR14J1",13,14,76,42,11,3,16,20,8,5
"OR14K1",0,0,0,0,0,0,0,0,0,0
"OR14L1P",7,2,27,13,2,0,0,5,5,2
"OR1A1",9,2,58,31,8,0,8,12,6,3
"OR1A2",0,0,0,0,0,0,0,0,0,0
"OR1AA1P",0,0,0,0,0,0,0,0,0,0
"OR1AB1P",0,0,1,0,0,0,0,1,0,0
"OR1AC1P",0,0,0,0,0,0,0,0,0,0
"OR1B1",0,0,1,0,0,0,1,1,0,0
"OR1C1",1,0,6,8,0,0,1,2,0,1
"OR1D2",4,5,56,29,3,0,11,16,13,8
"OR1D3P",0,0,0,0,0,0,0,0,0,0
"OR1D4",0,0,0,0,0,0,0,1,0,0
"OR1D5",0,0,0,0,0,0,0,0,0,0
"OR1E1",0,0,1,0,0,0,0,0,0,0
"OR1E2",0,0,0,0,0,0,0,1,0,0
"OR1E3",0,0,0,0,0,0,0,1,0,0
"OR1F1",0,0,1,0,0,0,1,1,0,0
"OR1F12",0,0,0,0,0,0,0,0,0,0
"OR1F2P",0,0,0,0,0,0,0,0,0,0
"OR1G1",0,0,0,0,0,0,0,0,0,0
"OR1H1P",0,0,0,0,0,0,0,2,0,0
"OR1I1",13,6,126,42,10,0,9,11,6,12
"OR1J1",0,0,1,0,0,0,0,3,0,0
"OR1J2",0,0,0,0,0,0,0,0,0,0
"OR1J4",0,0,0,2,1,1,0,0,0,0
"OR1K1",0,0,1,0,0,0,1,1,0,0
"OR1L1",0,0,0,1,0,0,0,0,0,0
"OR1L3",0,0,0,0,0,0,0,0,0,0
"OR1L4",1,0,0,0,0,0,0,0,0,0
"OR1L6",0,0,0,0,0,0,0,2,0,0
"OR1L8",2,4,5,6,0,2,1,4,3,1
"OR1M1",2,0,38,14,3,0,1,5,3,5
"OR1M4P",0,0,0,0,0,0,0,0,0,0
"OR1N1",0,0,0,0,0,0,0,0,0,0
"OR1N2",0,0,0,2,0,0,0,0,0,0
"OR1P1",0,0,0,0,0,0,0,0,0,0
"OR1Q1",0,1,0,1,0,0,0,0,0,1
"OR1S1",0,0,0,0,1,0,1,0,0,0
"OR1S2",0,0,0,0,0,0,0,0,0,0
"OR1X1P",0,0,0,0,0,0,0,2,1,0
"OR1X5P",0,0,1,0,0,0,0,1,0,0
"OR2A1",0,1,39,15,0,0,5,7,8,3
"OR2A1-AS1",35,21,199,76,21,14,30,67,98,57
"OR2A12",0,1,2,4,1,0,4,2,0,1
"OR2A13P",2,1,8,1,0,0,0,1,0,4
"OR2A14",0,0,6,0,0,0,1,1,0,1
"OR2A15P",0,0,0,0,0,0,0,0,0,0
"OR2A2",0,0,2,0,0,0,0,0,0,0
"OR2A20P",114,79,774,436,56,34,165,297,403,291
"OR2A25",1,0,1,2,0,0,0,2,1,0
"OR2A3P",5,1,25,7,2,0,4,1,2,0
"OR2A4",0,0,0,0,0,0,0,0,0,0
"OR2A41P",0,0,0,0,0,0,0,0,0,0
"OR2A42",8,5,45,8,4,0,7,18,8,4
"OR2A5",11,5,57,30,5,2,15,9,9,11
"OR2A7",145,112,1476,675,105,35,366,428,627,266
"OR2A9P",73,56,400,187,26,15,145,224,149,146
"OR2AD1P",0,0,0,0,0,0,0,0,0,0
"OR2AE1",0,0,1,1,0,0,0,2,2,0
"OR2AF1P",0,0,0,0,0,0,0,0,0,0
"OR2AG1",2,0,12,4,1,1,1,0,2,1
"OR2AG2",0,1,19,5,1,0,2,1,2,3
"OR2AH1P",1,0,6,0,0,0,2,0,0,0
"OR2AI1P",0,0,0,0,0,0,0,0,0,0
"OR2AJ1",0,0,0,0,0,0,0,0,0,0
"OR2AK2",0,0,0,1,0,0,0,0,0,0
"OR2AL1P",0,0,0,0,0,0,0,0,0,0
"OR2AM1P",0,0,0,0,0,0,0,0,0,0
"OR2AO1P",2,0,4,2,0,0,1,0,0,0
"OR2AP1",0,0,0,0,1,0,0,0,0,0
"OR2AQ1P",0,0,0,0,0,0,0,0,0,0
"OR2AS1P",0,0,0,0,0,0,0,2,0,0
"OR2AS2P",0,0,0,0,0,0,0,0,0,0
"OR2AT1P",0,0,0,0,0,0,0,0,0,0
"OR2AT2P",0,0,0,0,0,0,0,0,0,0
"OR2AT4",29,26,191,81,19,2,36,32,23,14
"OR2B11",1,3,36,14,2,0,7,4,6,2
"OR2B2",0,0,0,0,0,0,0,0,0,0
"OR2B3",0,0,0,0,0,0,0,3,0,0
"OR2B6",0,0,2,1,0,1,1,1,0,0
"OR2B7P",0,0,0,0,0,0,0,0,0,0
"OR2B8P",0,0,0,0,0,0,0,0,0,0
"OR2BH1P",0,0,0,0,0,0,0,0,0,0
"OR2C1",2,0,4,2,1,0,1,2,5,0
"OR2C3",1,2,21,4,1,1,1,2,3,0
"OR2D2",0,0,0,0,0,0,1,0,0,0
"OR2D3",0,0,1,0,0,0,0,0,0,0
"OR2E1P",0,0,0,0,0,0,0,0,0,0
"OR2F1",1,2,20,4,1,0,2,2,2,4
"OR2F2",0,0,0,0,0,0,0,0,0,0
"OR2G1P",0,0,0,0,0,0,0,0,0,0
"OR2G2",0,0,0,0,0,0,0,0,0,0
"OR2G3",0,0,0,0,0,0,0,0,0,0
"OR2G6",5,2,36,19,2,2,2,9,8,3
"OR2H1",0,0,0,0,0,0,0,1,0,0
"OR2H2",6,1,54,16,3,0,3,4,3,0
"OR2H5P",0,0,1,0,0,0,0,0,0,0
"OR2I1P",1,1,30,5,0,2,5,3,1,3
"OR2J1",0,0,0,0,0,0,0,1,0,0
"OR2J2",0,0,2,2,1,0,0,0,0,0
"OR2J3",0,0,4,1,0,0,1,2,0,1
"OR2J4P",0,0,0,0,0,0,0,0,0,0
"OR2K2",0,0,1,0,0,0,0,0,0,0
"OR2L13",0,0,2,1,0,0,0,0,0,0
"OR2L1P",0,0,0,1,0,0,0,0,0,0
"OR2L2",5,1,36,17,1,0,0,4,10,3
"OR2L3",2,2,6,4,0,0,5,7,2,3
"OR2L5",0,0,0,0,0,0,0,0,0,0
"OR2L6P",0,0,0,0,0,0,0,1,0,0
"OR2L8",0,0,0,0,0,0,0,0,0,0
"OR2L9P",0,0,0,0,0,0,0,0,0,0
"OR2M1P",0,0,0,0,0,0,0,0,0,0
"OR2M2",0,0,0,0,0,0,0,4,0,0
"OR2M3",62,49,361,158,23,5,68,65,64,53
"OR2M4",14,9,53,22,5,2,4,4,7,4
"OR2M5",0,0,0,0,0,0,0,0,0,0
"OR2M7",0,0,0,0,1,0,0,0,0,0
"OR2P1P",0,0,0,0,0,0,0,0,0,0
"OR2Q1P",0,0,0,0,0,0,0,0,0,0
"OR2R1P",0,0,0,4,0,0,0,0,0,0
"OR2S1P",1,1,12,2,1,0,4,5,0,0
"OR2S2",0,0,0,0,0,0,0,0,0,0
"OR2T1",0,0,0,0,0,0,0,1,0,0
"OR2T10",3,4,10,0,1,1,2,0,1,3
"OR2T11",2,1,13,0,0,0,2,0,0,0
"OR2T12",1,2,35,7,2,0,4,3,0,0
"OR2T2",6,3,4,0,0,0,3,2,3,0
"OR2T27",0,0,0,0,0,0,0,0,0,0
"OR2T29",0,0,0,0,0,0,0,2,0,0
"OR2T3",0,0,0,0,0,0,0,0,0,0
"OR2T32P",0,0,1,1,0,0,0,2,0,0
"OR2T33",2,1,6,3,1,0,0,2,0,1
"OR2T34",1,0,0,0,0,0,0,0,0,0
"OR2T35",0,1,3,3,0,0,0,0,0,0
"OR2T4",0,0,0,0,0,0,0,0,0,0
"OR2T5",0,0,0,0,0,0,0,0,1,0
"OR2T6",1,0,4,1,0,0,0,0,0,0
"OR2T7",0,0,8,3,0,0,4,0,2,0
"OR2T8",0,0,0,1,1,0,0,0,1,0
"OR2U1P",0,0,0,0,0,0,0,0,0,0
"OR2U2P",0,0,0,0,0,0,0,0,0,0
"OR2V1",0,3,21,5,0,1,2,3,5,1
"OR2V2",5,5,61,13,1,0,6,4,6,4
"OR2W1",0,0,0,0,0,0,0,0,0,0
"OR2W2P",0,0,0,0,0,0,0,1,0,0
"OR2W3",2,0,4,12,0,2,3,14,9,1
"OR2W4P",0,0,0,0,0,0,0,0,0,0
"OR2W5",0,0,0,0,1,0,0,0,0,0
"OR2W6P",0,0,2,1,0,0,0,0,0,0
"OR2X1P",0,0,0,0,0,0,0,0,0,0
"OR2Y1",0,0,0,0,0,0,0,0,0,0
"OR2Z1",0,0,1,0,0,0,0,2,0,0
"OR3A1",0,0,1,0,0,0,0,0,0,0
"OR3A2",0,0,4,4,0,0,2,1,0,0
"OR3A3",6,1,10,18,1,0,2,4,1,1
"OR3A4P",0,0,0,0,0,0,0,0,0,0
"OR3B1P",0,0,0,0,0,0,0,0,0,0
"OR3D1P",0,0,0,0,0,0,0,0,0,0
"OR4A10P",0,0,0,0,0,0,0,0,0,0
"OR4A11P",0,0,0,0,0,0,0,0,0,0
"OR4A12P",0,0,0,0,0,0,0,0,0,0
"OR4A13P",0,0,0,0,0,0,0,0,0,0
"OR4A15",0,0,0,0,0,0,0,0,0,0
"OR4A16",0,0,0,0,0,0,0,0,0,0
"OR4A17P",0,0,0,0,0,0,0,0,0,0
"OR4A18P",0,0,0,0,0,0,0,0,0,0
"OR4A19P",0,0,0,0,0,0,0,0,0,0
"OR4A1P",0,0,0,0,0,0,0,0,0,0
"OR4A21P",0,0,0,0,0,0,0,0,0,0
"OR4A2P",0,0,0,0,0,0,0,0,0,0
"OR4A3P",0,0,0,0,0,0,0,0,0,0
"OR4A40P",0,0,0,0,0,0,0,0,0,0
"OR4A41P",0,0,0,0,0,0,0,0,0,0
"OR4A42P",0,0,0,0,0,0,0,0,0,0
"OR4A43P",0,0,0,0,0,0,0,0,0,0
"OR4A44P",0,0,0,0,0,0,0,0,0,0
"OR4A45P",0,0,0,0,0,0,0,0,0,0
"OR4A46P",0,0,0,0,0,0,0,0,0,0
"OR4A47",0,0,0,0,0,0,0,0,0,0
"OR4A48P",0,0,0,0,0,0,0,0,0,0
"OR4A49P",0,0,5,1,0,0,0,1,1,1
"OR4A4P",0,0,0,0,0,0,0,0,0,0
"OR4A5",0,0,0,0,0,0,0,0,0,0
"OR4A50P",0,0,0,0,0,0,0,0,0,0
"OR4A6P",0,0,0,0,0,0,0,0,0,0
"OR4A7P",0,0,1,0,0,0,0,0,0,0
"OR4A8",0,0,0,0,0,0,0,0,0,0
"OR4A9P",0,0,0,0,0,0,0,0,0,0
"OR4B1",0,0,0,0,0,0,0,0,0,0
"OR4B2P",0,0,0,0,0,0,0,0,0,0
"OR4C10P",0,0,0,0,0,0,0,0,0,0
"OR4C11",0,0,0,0,0,0,0,0,0,0
"OR4C12",0,0,0,0,0,0,0,0,0,0
"OR4C13",0,0,0,0,0,0,0,0,0,1
"OR4C14P",0,0,0,0,0,0,0,0,0,0
"OR4C15",0,0,0,0,0,0,0,0,0,0
"OR4C16",0,0,0,0,0,0,0,0,0,0
"OR4C1P",0,0,0,0,0,0,0,1,0,0
"OR4C2P",0,0,0,0,0,0,0,0,0,0
"OR4C3",0,0,0,0,0,0,0,1,0,0
"OR4C45",0,0,0,0,0,0,0,0,0,0
"OR4C46",0,0,0,0,0,0,0,0,0,0
"OR4C48P",0,0,0,0,0,0,0,1,0,0
"OR4C49P",0,0,0,0,0,0,0,2,0,0
"OR4C4P",0,0,0,0,0,0,0,0,0,0
"OR4C5",0,0,0,0,0,0,0,0,0,0
"OR4C50P",0,0,0,0,0,0,0,0,0,0
"OR4C6",0,0,0,0,0,0,0,0,0,0
"OR4C7P",0,0,0,0,0,0,0,1,0,0
"OR4C9P",0,0,0,0,0,0,0,0,0,0
"OR4D1",6,2,24,5,0,0,1,4,2,0
"OR4D10",0,0,0,0,0,0,0,0,0,0
"OR4D11",0,0,1,0,0,0,0,0,0,0
"OR4D2",0,0,0,0,0,0,0,0,0,0
"OR4D5",0,0,0,0,0,0,0,0,0,0
"OR4D6",0,0,0,0,0,0,0,0,0,0
"OR4D7P",0,0,0,0,0,0,0,6,0,0
"OR4D8P",0,0,0,0,0,0,0,0,0,0
"OR4D9",7,6,86,31,8,0,8,14,3,6
"OR4E1",0,0,7,0,1,0,0,1,1,1
"OR4E2",0,0,1,0,1,0,0,0,0,0
"OR4F13P",0,0,2,0,0,0,0,0,0,0
"OR4F14P",0,0,0,0,0,0,0,0,0,0
"OR4F15",1,0,5,0,0,0,1,1,0,0
"OR4F16",0,0,0,0,0,0,0,0,0,0
"OR4F17",8,15,57,40,4,2,7,10,5,3
"OR4F1P",0,0,0,0,0,0,0,0,0,0
"OR4F21",0,0,1,0,0,0,0,0,0,0
"OR4F28P",0,0,2,0,0,0,0,0,0,0
"OR4F29",0,0,0,0,0,0,0,0,0,0
"OR4F2P",1,0,0,0,0,0,0,0,0,0
"OR4F3",0,0,0,0,0,0,0,0,0,0
"OR4F4",0,0,0,0,0,0,0,0,0,0
"OR4F5",0,0,0,0,0,0,0,0,0,0
"OR4F6",0,0,0,0,0,0,0,0,0,0
"OR4F7P",0,0,0,0,0,0,0,0,0,0
"OR4F8P",0,0,1,0,0,0,0,0,0,0
"OR4G11P",0,0,0,0,0,0,0,0,0,0
"OR4G1P",0,0,1,0,0,0,0,0,0,0
"OR4G2P",0,0,0,0,0,0,0,0,0,0
"OR4G3P",0,0,1,3,0,0,0,0,0,1
"OR4G4P",0,0,0,0,0,0,0,0,0,0
"OR4G6P",0,0,0,0,0,0,0,0,0,0
"OR4H12P",0,0,0,0,0,0,0,0,0,0
"OR4H6P",0,0,0,0,0,0,0,0,0,0
"OR4K1",0,0,0,0,0,0,0,0,0,0
"OR4K11P",0,0,0,0,0,0,0,0,0,0
"OR4K12P",0,0,0,0,0,0,0,0,0,0
"OR4K13",2,3,20,2,1,0,0,5,1,3
"OR4K14",0,0,0,0,0,0,0,2,0,0
"OR4K15",0,0,0,0,0,0,0,0,0,0
"OR4K16P",6,4,36,11,1,0,1,9,5,1
"OR4K17",12,7,37,23,1,0,9,14,8,5
"OR4K2",0,0,20,5,0,1,0,0,1,0
"OR4K3",0,0,0,0,0,1,0,0,0,0
"OR4K4P",0,0,0,0,0,0,0,0,0,0
"OR4K5",0,0,0,0,0,0,0,0,0,0
"OR4K6P",0,0,0,0,0,0,0,0,0,0
"OR4K7P",0,0,0,0,0,0,0,0,0,0
"OR4K8P",0,0,0,0,0,0,0,0,0,0
"OR4L1",0,0,0,0,0,0,0,0,0,0
"OR4M1",0,0,1,0,0,0,0,0,0,0
"OR4M2",0,0,0,0,0,0,0,0,0,0
"OR4N1P",0,0,0,0,0,0,0,0,0,0
"OR4N2",0,0,0,0,0,0,0,0,0,0
"OR4N3P",0,0,0,0,0,0,0,1,0,0
"OR4N4",0,0,0,0,0,0,0,0,0,0
"OR4N5",0,0,0,0,0,0,0,0,0,0
"OR4P1P",0,0,0,0,0,0,0,0,0,0
"OR4P4",0,3,17,6,2,0,1,0,0,1
"OR4Q1P",0,0,0,0,0,0,0,0,0,0
"OR4Q2",0,0,0,0,0,0,0,0,0,0
"OR4Q3",0,0,2,0,0,0,1,0,1,1
"OR4R1P",0,0,0,0,0,0,0,0,0,0
"OR4R2P",0,0,0,0,0,0,0,0,0,0
"OR4R3P",0,0,0,0,0,0,0,0,0,0
"OR4S1",0,0,0,0,0,0,0,0,0,0
"OR4S2",0,0,0,0,0,0,0,0,0,0
"OR4T1P",0,0,0,0,0,0,0,0,0,0
"OR4U1P",0,0,0,0,0,0,0,0,0,0
"OR4V1P",0,0,0,0,0,0,0,0,0,0
"OR4X1",0,0,0,0,0,0,0,0,0,0
"OR4X2",0,0,0,0,0,0,0,0,0,0
"OR4X7P",0,0,0,0,0,0,0,0,0,0
"OR51A10P",0,0,0,0,0,0,0,0,0,0
"OR51A1P",0,0,0,0,0,0,0,0,0,0
"OR51A2",0,0,0,0,0,0,0,0,0,0
"OR51A3P",0,0,0,0,0,0,0,0,0,0
"OR51A4",0,0,0,0,0,0,1,1,1,0
"OR51A5P",0,0,0,0,0,0,0,0,0,0
"OR51A6P",0,0,0,0,0,0,0,0,0,0
"OR51A7",0,0,0,0,0,0,0,0,0,0
"OR51A8P",0,0,0,0,0,0,0,0,0,0
"OR51A9P",0,0,0,0,0,0,0,0,0,0
"OR51AB1P",0,0,0,0,0,0,0,0,0,0
"OR51B2",0,0,0,0,0,0,0,0,0,0
"OR51B3P",0,0,1,0,0,0,0,0,0,0
"OR51B4",0,0,0,0,0,0,0,0,0,0
"OR51B5",1,1,7,0,2,0,0,3,3,1
"OR51B6",0,0,0,0,0,0,0,1,0,0
"OR51B8P",0,0,0,0,0,0,0,0,0,0
"OR51C1P",0,0,0,0,0,0,0,0,0,0
"OR51C4P",0,0,0,0,0,0,0,0,0,0
"OR51D1",1,1,5,1,0,0,0,0,0,1
"OR51E1",0,0,0,0,0,0,0,0,0,0
"OR51E2",1,1,7,1,0,0,0,2,0,0
"OR51F1",0,0,0,0,0,0,0,1,0,0
"OR51F2",0,0,0,0,0,0,0,0,0,0
"OR51F3P",0,0,0,0,0,0,0,0,0,0
"OR51F4P",0,0,0,0,0,0,0,0,0,0
"OR51F5P",0,0,0,0,0,0,0,0,0,0
"OR51G1",0,0,0,0,0,0,0,0,0,0
"OR51G2",0,0,0,0,0,0,0,0,0,0
"OR51H1",0,0,0,0,0,0,0,0,0,0
"OR51H2P",0,0,0,0,0,0,0,0,0,0
"OR51I1",0,1,0,0,0,0,0,0,0,0
"OR51I2",0,0,1,1,0,0,0,0,1,0
"OR51J1",0,0,1,0,0,0,0,0,0,0
"OR51K1P",0,0,0,0,0,0,0,0,0,0
"OR51L1",0,1,17,4,1,0,3,4,0,0
"OR51M1",4,2,26,4,2,1,2,1,3,0
"OR51N1P",0,0,0,0,0,0,0,0,0,0
"OR51P1P",0,0,0,0,0,0,0,0,0,0
"OR51Q1",0,0,0,0,0,0,0,0,0,0
"OR51R1P",0,0,0,0,0,0,0,0,0,0
"OR51S1",0,0,0,0,0,0,0,5,0,0
"OR51T1",0,0,0,0,0,0,1,0,0,0
"OR51V1",0,0,0,0,0,0,0,1,0,0
"OR52A1",4,3,41,7,2,2,7,38,5,6
"OR52A4P",0,0,0,0,0,0,0,0,0,0
"OR52A5",0,0,0,0,0,0,0,0,0,0
"OR52B1P",0,0,0,0,0,0,0,0,0,0
"OR52B2",0,0,0,0,0,0,0,0,0,0
"OR52B3P",1,0,0,0,0,0,0,2,1,0
"OR52B4",0,0,0,1,1,0,0,0,0,0
"OR52B5P",1,0,10,4,0,0,1,3,0,0
"OR52B6",0,0,2,0,0,0,0,0,0,0
"OR52D1",0,0,0,0,0,0,0,0,0,0
"OR52E1",0,0,0,0,0,0,0,0,0,0
"OR52E2",0,0,0,0,0,0,0,0,0,0
"OR52E3P",0,0,0,0,0,0,0,0,0,0
"OR52E4",3,1,17,6,1,1,0,1,0,1
"OR52E5",0,0,0,0,0,0,0,1,0,0
"OR52E6",0,0,1,0,0,1,0,0,0,0
"OR52E7P",0,0,0,0,0,0,0,0,0,0
"OR52E8",0,0,0,0,0,0,0,0,0,0
"OR52H1",0,1,2,3,0,0,2,1,1,0
"OR52H2P",0,0,3,1,0,0,1,0,0,0
"OR52I1",5,8,18,5,2,0,4,6,0,0
"OR52I2",1,0,2,0,0,0,0,2,0,0
"OR52J1P",0,0,0,0,0,0,0,0,0,0
"OR52J2P",0,0,0,0,0,0,0,0,0,0
"OR52J3",0,0,0,0,0,0,0,0,0,0
"OR52K1",32,10,109,42,26,10,27,27,9,12
"OR52K2",0,0,0,0,0,0,0,0,0,0
"OR52K3P",4,11,2,9,1,0,12,12,1,2
"OR52L1",0,0,0,0,0,0,0,2,1,0
"OR52L2P",0,0,0,0,0,0,0,0,0,0
"OR52M1",0,0,0,0,0,0,0,1,0,0
"OR52M2P",0,0,0,0,0,0,1,0,0,0
"OR52N1",0,1,1,1,1,0,0,0,0,0
"OR52N2",0,0,0,0,0,0,0,0,0,0
"OR52N3P",0,0,0,0,0,0,0,0,0,0
"OR52N4",0,0,1,0,0,0,1,1,0,2
"OR52N5",1,1,5,1,0,0,3,0,1,0
"OR52P1P",0,0,0,0,0,0,0,0,0,0
"OR52P2P",0,0,0,0,0,0,0,0,0,0
"OR52Q1P",0,0,0,0,0,0,0,0,0,0
"OR52R1",0,0,0,0,0,0,0,1,0,0
"OR52S1P",0,0,0,0,0,0,0,0,0,0
"OR52T1P",0,0,0,1,0,0,1,0,0,0
"OR52U1P",0,0,0,0,0,0,0,0,0,0
"OR52V1P",0,0,2,1,0,0,0,0,0,0
"OR52W1",0,0,1,0,0,0,0,1,0,0
"OR52X1P",0,0,0,0,0,0,0,1,0,0
"OR52Y1P",0,0,0,0,0,0,0,0,0,0
"OR52Z1",0,0,0,0,0,0,0,0,0,0
"OR55B1P",5,1,15,8,3,0,0,0,2,2
"OR56A1",3,3,18,12,0,0,0,7,3,1
"OR56A3",0,0,0,0,0,0,0,0,0,0
"OR56A4",2,2,4,3,0,1,0,1,0,0
"OR56A5",0,0,0,0,0,0,0,0,0,0
"OR56A7P",0,0,0,0,0,0,1,0,0,0
"OR56B1",0,0,0,0,0,0,0,0,0,0
"OR56B2P",0,0,1,0,1,0,2,1,0,0
"OR56B3P",0,0,0,0,0,0,0,0,0,0
"OR56B4",1,0,0,0,0,0,1,0,1,0
"OR5A1",10,6,60,35,7,0,10,8,3,3
"OR5A2",20,19,144,48,10,2,21,35,22,16
"OR5AC1",0,0,0,0,0,0,0,0,0,0
"OR5AC2",0,0,0,0,0,0,0,0,0,0
"OR5AC4P",0,0,0,0,0,0,0,0,0,0
"OR5AH1P",0,0,0,0,0,0,0,0,0,0
"OR5AK1P",0,0,0,0,0,0,0,0,0,0
"OR5AK2",0,0,0,0,0,0,0,0,0,0
"OR5AK3P",0,0,0,0,0,0,0,0,0,0
"OR5AK4P",0,0,0,0,0,0,0,0,0,0
"OR5AL1",0,0,0,0,0,0,0,0,0,0
"OR5AL2P",0,0,0,0,0,0,0,1,0,0
"OR5AM1P",0,0,0,0,0,0,0,0,0,0
"OR5AN1",2,1,27,7,3,1,3,10,1,0
"OR5AN2P",0,0,0,0,0,0,0,0,0,0
"OR5AO1P",0,0,0,0,0,0,0,0,0,0
"OR5AP1P",0,0,0,0,0,0,0,0,0,0
"OR5AP2",0,0,0,0,0,0,0,0,0,0
"OR5AQ1P",0,0,0,0,0,0,0,0,0,0
"OR5AR1",0,0,0,0,0,0,0,0,0,0
"OR5AS1",17,20,201,83,18,5,20,45,45,38
"OR5AU1",5,3,51,18,1,1,6,2,3,3
"OR5AW1P",0,0,0,0,0,0,0,0,0,0
"OR5AZ1P",0,0,2,0,0,0,0,0,0,0
"OR5B10P",0,0,0,0,0,0,0,0,0,1
"OR5B12",1,0,0,0,0,0,0,0,0,1
"OR5B15P",0,0,0,1,0,0,0,0,0,0
"OR5B17",0,0,0,0,0,0,0,0,0,0
"OR5B19P",0,0,1,0,0,0,0,0,0,0
"OR5B1P",0,0,0,2,0,0,0,0,0,0
"OR5B2",1,0,6,4,2,0,1,3,3,1
"OR5B21",0,0,0,0,0,0,0,0,0,0
"OR5B3",0,0,1,0,0,0,0,0,0,0
"OR5BA1P",10,9,50,25,2,0,7,9,17,18
"OR5BB1P",0,0,0,0,0,0,0,0,0,0
"OR5BC1P",0,0,0,1,0,0,0,1,0,0
"OR5BD1P",0,0,1,1,0,0,0,1,1,1
"OR5BE1P",0,0,0,0,0,0,0,0,0,0
"OR5BH1P",0,0,0,0,0,0,0,0,0,0
"OR5BJ1P",0,0,0,1,0,0,0,0,0,0
"OR5BK1P",0,0,3,3,0,0,0,1,0,0
"OR5BL1P",0,0,0,0,0,0,0,0,0,0
"OR5BM1P",0,0,0,0,0,0,0,0,0,0
"OR5BN1P",0,0,0,0,0,0,0,0,0,0
"OR5BN2P",0,0,0,0,0,0,0,0,0,0
"OR5BP1P",0,0,0,0,0,0,0,0,0,0
"OR5BQ1P",0,0,0,0,0,0,0,0,0,0
"OR5BR1P",0,0,0,0,0,0,0,0,0,0
"OR5BS1P",0,0,0,0,0,0,0,1,0,0
"OR5BT1P",0,0,0,0,0,0,0,0,0,0
"OR5C1",1,0,0,0,0,0,0,2,0,1
"OR5D13",0,0,0,0,0,0,0,0,0,0
"OR5D14",0,0,0,0,0,0,0,0,0,0
"OR5D15P",0,0,0,0,0,0,0,0,0,0
"OR5D16",0,0,0,0,0,0,0,0,0,0
"OR5D17P",0,0,0,0,0,0,0,0,0,0
"OR5D18",0,0,0,0,0,0,0,0,0,0
"OR5D2P",0,0,0,0,0,0,0,0,0,0
"OR5D3P",0,0,0,0,0,0,0,0,0,0
"OR5E1P",0,0,12,1,0,0,1,1,1,0
"OR5F1",0,0,0,0,0,0,0,0,0,0
"OR5F2P",0,0,0,0,0,0,0,0,0,0
"OR5G1P",0,0,0,0,0,0,0,0,0,0
"OR5G3",0,0,0,0,0,0,0,0,0,0
"OR5G4P",0,0,0,0,0,0,0,0,0,0
"OR5G5P",0,0,0,0,0,0,0,2,0,0
