"P11_L","P12_L","P13_L","P14_L","P15_L","P16_L","P17_L","P18_L","P19_L","P20_L","P11_PL","P12_PL","P13_PL","P14_PL","P15_PL","P16_PL","P17_PL","P18_PL","P19_PL","P20_PL"
"ABHD2",7.63273333333333,7.82141666666667,7.47358333333333,8.25655,7.49505,7.88908333333333,8.15375,7.84008333333333,7.41565,7.702,8.11458333333333,7.60505,7.59341666666667,8.16738333333333,8.03163333333333,8.04418333333333,7.91885,7.90406666666667,7.97778333333333,7.80105
"ABHD3",8.3135,8.1539,7.9775,8.4031,8.528,8.1505,8.6616,8.6114,8.2929,8.515,7.7262,8.4299,8.11,8.044,9.0163,8.13,8.3434,8.5222,8.1683,9.1319
"ABHD4",6.79615,6.5545,6.80565,6.88865,6.55265,6.7515,6.4749,6.4859,7.52575,6.60045,6.8063,6.9614,6.55435,6.7154,6.443,6.6562,6.6418,6.3309,6.78455,6.80535
"ABHD5",9.199525,8.675825,9.09255,8.5067,9.0489,8.985975,8.61895,9.841475,8.6987,9.102375,9.5647,8.725025,9.005625,8.5723,10.149,8.941075,8.466525,9.80265,8.941,9.483875
"ABHD6",8.571425,7.7974,8.600975,8.0947,8.34265,8.305075,8.111125,8.7451,8.449225,8.4298,8.7043,7.98395,8.249725,8.153925,8.80015,8.3263,8.287875,8.8427,8.426675,8.5024
"ABHD8",5.6951,5.6264,5.9193,5.8502,6.0215,5.6949,5.7571,5.9293,6.0733,5.8708,5.7432,5.9572,5.6824,5.8537,5.9836,5.8678,5.5833,5.9091,6.0677,5.8276
"ABI1",7.85203333333333,8.1375,8.2239,7.76373333333333,8.13743333333333,8.06466666666667,8.05873333333333,8.1176,7.98933333333333,7.8148,7.97493333333333,8.0035,8.48426666666667,8.10826666666667,8.0645,8.0834,7.96623333333333,7.99056666666667,7.92993333333333,7.79763333333333
"ABI2",7.4827375,7.5501375,7.497725,7.471375,7.3546875,7.41155,7.440625,7.4253375,7.1169125,7.39605,7.550025,7.468625,7.6144125,7.3799375,7.2008125,7.3842875,7.3739125,7.3686625,7.3740375,7.297125
"ABI3",7.0006,6.3952,6.7945,6.5614,6.8601,6.8419,6.6178,6.8811,7.4026,7.321,6.8414,6.6965,6.6001,6.7381,6.8678,6.7834,6.6202,6.6779,6.9501,6.7851
"ABI3BP",6.10843333333333,6.04536666666667,5.3645,5.62936666666667,5.48256666666667,5.4507,6.2919,5.4331,5.5196,5.29313333333333,5.95883333333333,6.13196666666667,5.3559,5.84166666666667,5.57576666666667,5.8027,6.3307,5.53593333333333,5.62313333333333,5.249
