"P11_L","P12_L","P13_L","P14_L","P15_L","P16_L","P17_L","P18_L","P19_L","P20_L","P11_PL","P12_PL","P13_PL","P14_PL","P15_PL","P16_PL","P17_PL","P18_PL","P19_PL","P20_PL"
"QSER1",7.335275,7.14455,7.418775,7.148575,7.308275,7.533525,7.554625,7.393025,7.64635,7.15855,7.18965,7.105175,7.178425,7.259575,7.221025,7.297325,7.3015,7.265175,6.93295,7.231
"QSOX1",8.9804,8.7532,8.4111,8.57815,8.58105,8.27195,8.45905,8.228,8.54,8.7153,8.7417,8.93505,8.34305,8.55405,8.41835,8.2262,8.3089,8.17005,8.7598,8.62755
"QSOX2",7.44415,7.58175,7.8774,7.59045,8.075,7.5294,7.39345,7.5313,7.2387,7.5352,7.55685,7.5244,7.67915,7.3478,7.6926,7.47685,7.4281,7.5736,7.3334,7.58985
"QTRT1",6.964,6.7929,6.956,6.7035,6.8363,6.7386,6.701,6.7961,6.9219,6.9101,6.4874,6.746,6.8606,6.676,6.702,6.6012,6.6134,6.76,6.7817,6.6284
"QTRTD1",6.00496666666667,5.94103333333333,6.20533333333333,5.77816666666667,5.86276666666667,5.91546666666667,6.0557,5.9103,5.61876666666667,5.67643333333333,5.80246666666667,6.00816666666667,6.0913,6.20583333333333,5.83073333333333,5.80416666666667,5.8571,6.04656666666667,5.87483333333333,5.78243333333333
"R3HCC1",8.98645,8.6666,9.07445,9.1624,9.2126,9.0573,8.9031,8.8267,9.2008,9.0244,9.0247,8.85445,8.93035,9.0517,8.95615,9.10665,9.0158,8.6073,9.0597,8.9079
"R3HCC1L",6.5549,6.70635,6.7604,6.6757,6.7658,6.8667,6.51165,6.77925,6.5917,6.5249,6.6273,6.48945,6.69255,6.87325,6.6639,6.63475,6.54365,6.73675,6.5883,6.5594
"R3HDM1",7.4224,7.29815,7.57665,7.1958,7.3703,7.53875,7.66965,7.4357,7.6024,7.52485,7.47425,7.2726,7.45755,7.24695,7.61485,7.61015,7.70005,7.3766,7.58425,7.42135
"R3HDM2",11.5688,11.8889,11.7429,11.5399,11.6819,11.6962,11.9082,11.6024,11.7595,11.4983,11.6385,11.8243,11.8473,11.6799,11.5804,11.7421,11.752,11.7618,11.7717,11.5942
"R3HDM4",9.4271,9.1332,9.6336,9.63665,9.5279,9.67755,9.50235,9.60365,9.6572,9.47545,9.5751,9.3432,9.4418,9.3699,9.44635,9.5807,9.47665,9.40765,9.587,9.4037
"R3HDML",3.2655,3.4886,4.0338,3.3748,3.5312,3.3018,3.472,3.5152,3.7325,3.5669,3.4649,3.4866,3.2806,3.2999,3.6555,3.2904,3.394,3.3778,3.3792,3.397
"RAB10",11.16135,11.33855,11.6237,11.38685,11.4071,11.4358,11.26935,11.46805,11.5291,11.40035,11.14515,11.2163,11.51805,11.3782,11.412,11.30455,11.11935,11.42135,11.44005,11.4413
"RAB11A",11.2611,11.2641,11.4725333333333,11.4519,11.5183666666667,11.4672333333333,11.4503,11.3825666666667,11.3676666666667,11.3454333333333,11.3433333333333,11.2989333333333,11.4942,11.3739333333333,11.5061333333333,11.3738333333333,11.3501,11.3961666666667,11.4223,11.3012333333333
"RAB11B",8.6911,8.548,8.7975,8.8576,8.70625,8.78855,8.66885,8.6698,8.5481,8.7944,8.82085,8.53,8.76535,8.95415,8.6098,8.9159,8.77855,8.48795,8.9083,8.5298
"RAB11B-AS1",7.15615,7.1938,7.2823,7.42145,7.30145,7.35935,7.3596,7.5919,7.63085,7.418,7.13915,7.1335,7.05975,7.30795,7.59145,7.1634,7.20605,7.2104,7.5161,7.45525
"RAB11FIP1",10.1656666666667,10.1347333333333,10.6189333333333,10.1065333333333,10.4065333333333,10.7367,10.1399,10.6798333333333,9.94773333333333,10.282,10.2806333333333,10.2253666666667,10.5388666666667,10.2821333333333,10.3201666666667,10.6093,10.0223333333333,10.5455666666667,10.3655666666667,10.0746
"RAB11FIP2",9.00025,8.9136,8.41585,8.7662,8.99555,8.88645,9.6386,8.80065,8.884,8.98465,8.94115,8.89645,8.6457,8.828,8.91845,8.9909,9.36545,8.81885,8.9282,8.8876
"RAB11FIP3",6.785,6.75633333333333,6.80756666666667,6.65476666666667,6.8519,6.76613333333333,6.77063333333333,6.29663333333333,7.2724,6.54966666666667,6.51716666666667,6.841,6.88636666666667,6.5036,6.77883333333333,6.81143333333333,6.82183333333333,6.66706666666667,6.85016666666667,6.9231
"RAB11FIP4",7.31936666666667,6.8085,7.59856666666667,7.1903,7.37926666666667,7.18206666666667,7.01633333333333,7.18846666666667,7.31163333333333,7.02496666666667,7.25226666666667,7.06976666666667,7.5783,7.15173333333333,7.202,7.17093333333333,6.9387,7.101,7.18143333333333,7.045
"RAB11FIP5",8.8682,8.6375,8.66,9.0712,8.793,8.5114,8.762,8.3789,8.8874,8.7602,8.7056,8.9057,8.4796,8.8739,8.5252,8.6304,8.7204,8.4953,8.7009,8.858
"RAB12",8.99506666666667,8.9574,9.09656666666667,9.0763,8.8529,8.89553333333333,9.1603,8.64406666666667,8.96703333333333,8.68546666666667,9.08356666666667,9.0092,9.151,9.17056666666667,8.91053333333333,8.99266666666667,9.17046666666667,8.96416666666667,8.8959,8.7286
"RAB13",12.0642,11.923,12.0719,12.1995,12.3084,12.2248,12.041,12.1467,12.1789,12.3675,12.136,11.9767,12.0101,12.0273,11.918,12.129,12.2292,11.9299,12.2041,12.039
"RAB14",9.33853333333333,9.73176666666667,9.6864,9.65973333333333,9.7063,9.7088,9.94126666666667,9.71573333333333,9.5249,9.61183333333333,9.79696666666667,9.42336666666667,9.7953,9.6672,9.9479,9.67903333333333,9.7579,9.77643333333333,9.79116666666667,9.70786666666667
"RAB15",6.33065,5.7708,5.99775,6.96705,6.19695,6.11715,6.3194,6.82295,7.0693,6.47045,6.5793,6.11355,5.89295,6.4018,7.2257,6.18305,6.22385,6.7581,6.41965,6.89595
"RAB17",6.5983,6.9546,6.497,6.9186,4.9628,5.9307,6.8136,6.4123,6.6857,6.9968,6.5449,6.7252,6.7586,6.2671,6.5444,5.9505,6.7821,6.6058,6.1316,7.1288
"RAB18",9.62923333333333,9.72896666666667,9.90696666666667,9.4637,9.6414,9.68991666666667,9.58591666666667,9.4177,9.43,9.34226666666667,9.69246666666667,9.58185,9.84558333333333,9.64006666666667,9.52301666666667,9.6693,9.54093333333333,9.67503333333333,9.62818333333333,9.45505
"RAB1A",9.436525,9.450675,9.445625,9.527975,9.56295,9.429425,9.531025,9.719375,8.863625,9.4988,9.525075,9.4441,9.437275,9.507725,9.739725,9.381375,9.453125,9.679175,9.488975,9.497375
"RAB1B",10.3913,9.954,10.5143,10.4206,10.4794,10.4832,10.3534,10.4372,10.3728,10.4349,10.444,10.3882,10.4632,10.3404,10.3282,10.495,10.3971,10.2409,10.5198,10.1722
"RAB20",5.14135,5.25695,4.4321,5.52475,5.14555,4.93165,5.37305,4.96635,5.15415,5.25305,5.11805,4.91615,4.84515,5.20815,5.11115,5.17685,5.3614,4.99115,5.1801,5.31685
"RAB21",8.27775,8.423625,8.476175,8.6941,8.537225,8.5247,8.5101,8.417925,8.668325,8.50275,8.318975,8.311475,8.48455,8.52975,8.49205,8.53245,8.4212,8.497925,8.65285,8.528225
"RAB22A",10.7627,10.7969,10.8613,10.69985,10.54775,10.73035,10.71055,10.75195,10.6737,10.68215,10.8158,10.80215,10.8052,10.7311,10.5961,10.63645,10.49875,10.63825,10.69835,10.57645
"RAB23",7.8446,7.6934,7.4089,7.9265,7.45156666666667,7.64393333333333,8.0737,7.39066666666667,7.4642,7.87506666666667,7.6243,7.69356666666667,7.371,7.87306666666667,7.10253333333333,7.60553333333333,7.85843333333333,6.94593333333333,7.8818,7.5742
"RAB24",9.6532,9.1328,9.5463,9.2674,9.5624,9.4012,9.0403,9.5409,10.0304,9.3844,9.1698,9.3699,9.3264,9.228,9.5396,9.1712,9.272,9.4966,9.5697,9.6773
"RAB25",12.0652,11.8237,12.5051,12.1855,12.2424,12.4232,11.9259,12.2725,12.2883,12.1276,12.1799,12.0176,12.2929,12.1779,12.1186,12.2646,11.8598,12.1513,12.2485,11.9731
"RAB26",6.2828,6.5027,6.08045,6.1982,6.2869,5.97475,5.8022,5.73615,6.62985,6.19995,5.83445,6.5236,6.15785,6.13995,5.95615,6.11815,6.5165,6.15965,6.3537,6.1893
"RAB27A",8.40478,8.30742,8.34936,8.24768,8.70244,8.73722,8.2853,8.96686,8.61258,8.5124,8.94712,8.4118,8.14312,8.2751,9.33082,8.45374,8.28734,8.91364,8.69454,9.33896
"RAB27B",8.31146666666667,8.95036666666667,9.56566666666667,9.0975,9.12476666666667,9.40066666666667,8.60456666666667,8.97996666666667,8.91593333333333,8.93576666666667,8.41126666666667,9.0465,9.35813333333333,8.9881,9.00846666666667,8.99176666666667,8.34796666666667,8.8102,8.54556666666667,8.8333
"RAB28",8.60676666666667,8.84983333333333,8.74183333333333,8.72776666666667,8.74706666666667,8.6742,8.98583333333333,8.53153333333333,8.75376666666667,8.7299,8.5691,8.72493333333333,8.8014,8.7208,8.6702,8.6227,8.7679,8.50323333333333,8.55893333333333,8.6913
"RAB29",7.00313333333333,6.8376,6.7532,7.1093,7.19743333333333,7.27246666666667,7.6007,7.11003333333333,7.2722,7.25396666666667,7.02566666666667,6.60183333333333,6.94816666666667,7.2918,7.21266666666667,7.32886666666667,7.50256666666667,6.89976666666667,7.03336666666667,7.07533333333333
"RAB2A",9.988,10.03565,10.5119166666667,10.4199,10.1250333333333,10.1719,10.3304666666667,10.2762333333333,9.97956666666667,10.1832,10.12405,9.96125,10.4164166666667,10.4644,10.1277666666667,10.1910666666667,10.2175666666667,10.2415,10.09845,10.1147333333333
"RAB2B",10.1672,10.4704,10.2248,10.1371,10.2355,10.2186,10.33,10.1158,9.8465,10.1638,10.113,10.3406,10.3647,10.2726,10.2049,10.3529,10.4527,10.2881,10.1082,10.0325
"RAB30",7.85172,7.91592,7.43738,7.6152,7.8202,8.05068,8.16298,7.78428,7.65718,7.87452,8.0501,7.51578,7.6518,7.89034,7.78316,8.1572,8.0895,7.78718,7.65202,7.74564
"RAB30-AS1",6.51235,6.88685,5.92815,6.0669,6.39765,6.7988,6.7376,6.8792,6.20845,6.82605,6.2136,6.77755,6.544,6.38815,6.4722,6.86225,6.5845,7.09695,6.44635,6.59325
"RAB31",10.3631666666667,10.0785666666667,9.55263333333333,10.1227333333333,10.3175333333333,10.5131,10.4190333333333,10.1837,9.89476666666667,10.0495,10.4252,9.9628,9.61073333333333,10.1702666666667,9.8341,10.5663666666667,10.354,9.91033333333333,9.95756666666667,9.72893333333333
"RAB32",7.41205,6.93355,6.4305,7.48865,7.4171,7.2238,7.8881,7.1364,7.38945,7.3434,7.679,7.3545,6.3723,7.7331,7.4833,7.5378,7.87545,7.3173,7.28845,7.7105
"RAB33A",6.1695,4.9322,4.4359,5.4182,5.9688,5.2004,6.9911,5.0204,5.896,5.3666,5.8906,5.2933,4.2516,5.8359,5.1668,5.7809,6.6026,4.7192,4.5248,5.6326
"RAB33B",9.7242,9.9704,9.8338,10.044,10.0922,9.9482,10.3063,9.7222,10.3006,9.8452,9.7753,9.7325,9.8119,10.0035,9.9014,10.059,10.0784,9.8844,9.9643,9.7242
"RAB35",7.26653333333333,7.1343,7.69103333333333,7.697,7.55003333333333,7.73023333333333,7.45903333333333,7.6665,7.55836666666667,7.3661,7.4289,7.18543333333333,7.4867,7.63686666666667,7.47213333333333,7.6669,7.43413333333333,7.33293333333333,7.4156,7.0751
"RAB36",6.8847,7.1486,7.8546,6.8803,6.9447,6.9416,6.4777,5.7414,6.8945,6.8137,7.2983,6.8409,7.6232,7.0907,6.9352,7.1129,6.7141,5.9979,7.0567,6.6716
"RAB37",7.1577,7.0718,5.4153,6.8403,6.9292,6.582,6.718,6.9792,6.3393,7.1622,6.6522,6.9007,6.2885,6.9531,6.5995,6.7428,6.7675,6.4565,6.7875,6.8602
"RAB38",10.9539,10.4781,11.1151,10.9111,11.0333,11.2268,10.3931,11.1473,11.4309,11.0664,10.9588,10.8167,10.91,10.726,11.3844,10.9303,10.3214,10.9189,11.1348,11.334
"RAB39A",4.195,3.9571,4.268,4.2313,5.082,4.3221,4.5552,4.1525,4.2019,4.7517,4.247,4.1946,4.3463,4.2757,4.1646,4.3965,3.8954,3.8614,4.1855,4.7272
"RAB39B",3.39695,3.67055,3.1823,3.7827,3.5091,3.9982,3.52395,3.6642,3.8181,3.88955,3.46415,3.72465,3.0919,3.4251,3.45005,3.6639,3.43455,3.13975,3.82375,3.8383
"RAB3A",7.754,7.9113,8.1947,8.7273,8.1504,7.8731,8.1632,7.774,8.4643,8.1098,8.1984,7.5227,8.0478,8.4267,8.1328,7.9893,8.3195,7.9765,8.2272,8.0629
"RAB3B",6.014,5.81782,5.25328,5.80746,5.6062,7.08456,5.58064,5.69622,6.00066,5.7855,6.16982,5.87818,5.53,5.33898,5.92632,7.16922,5.55998,6.2774,6.47402,5.4592
"RAB3C",3.83315,4.012325,3.96965,3.6276,4.0046,3.918975,3.963075,3.84115,4.0934,4.644525,3.69055,3.909825,3.562625,3.7952,3.678375,3.7399,4.206,3.692625,3.793225,4.395625
"RAB3D",8.05965,8.0452,8.4312,8.4412,8.5116,8.4539,8.30405,8.47875,8.0033,8.2429,8.25165,7.9603,8.42345,8.2143,8.4338,8.45205,8.21435,8.51405,8.27115,8.0183
"RAB3GAP1",7.7323,7.79155,7.93,7.836175,7.65865,7.896025,7.7858,7.78935,7.777775,7.745725,7.782025,7.7296,7.958825,7.791425,7.74765,7.87755,7.693525,7.7712,7.745275,7.76825
"RAB3GAP2",6.7167,6.5866,6.3831,6.1679,6.1954,6.7713,6.3713,6.158,6.1326,6.3473,6.6164,6.3267,6.7348,6.3517,6.2522,6.7949,6.7715,6.8377,6.1791,6.0957
"RAB3IL1",7.1263,6.3774,6.2721,6.9519,6.6925,6.6163,7.1814,6.4536,6.7728,6.6367,6.8492,6.7351,6.3422,6.8126,6.5072,7.0127,7.3067,6.4045,6.5379,6.3874
"RAB3IP",5.48968571428571,6.1336,6.12924285714286,6.25387142857143,5.44862857142857,5.69722857142857,5.74718571428571,5.56231428571429,5.86434285714286,5.5519,5.49477142857143,6.15604285714286,6.14207142857143,5.99807142857143,5.53465714285714,5.57378571428571,5.68447142857143,5.48545714285714,5.87585714285714,5.70581428571429
"RAB40A",5.2775,4.3377,4.9956,4.9126,4.6843,4.7887,4.6579,4.4112,5.317,4.5368,4.5347,4.4507,4.6553,4.4051,4.8635,4.6679,4.8482,4.4951,5.1624,4.972
"RAB40AL",3.6737,3.5187,3.5899,3.2667,3.6814,3.5355,3.6298,3.3806,3.1026,3.3921,3.4936,3.5921,3.4939,3.4159,3.6672,3.458,3.1924,3.6647,3.6214,3.4383
"RAB40B",8.58653333333333,8.61923333333333,8.79936666666667,8.65906666666667,8.5969,8.6854,8.43146666666667,8.47706666666667,8.92146666666667,8.61343333333333,8.55033333333333,8.67136666666667,8.75723333333333,8.4929,8.49053333333333,8.5601,8.52396666666667,8.52676666666667,8.7945,8.62733333333333
"RAB40C",8.7859,8.343,9.23083333333333,8.87396666666667,8.4863,8.53843333333333,8.45386666666667,8.51816666666667,8.96243333333333,8.3483,8.83043333333333,8.48746666666667,8.9294,8.87503333333333,8.26856666666667,8.46153333333333,8.36733333333333,8.5711,8.8092,8.25146666666667
"RAB42",6.5806,6.2049,6.0075,6.4434,6.0422,6.0948,6.386,5.8957,6.1062,6.1923,6.2067,6.1737,6.212,6.5482,6.0293,6.1382,6.1932,6.0721,6.1526,6.0544
"RAB43",6.08,5.8431,5.9597,6.2556,6.0215,6.0517,5.8435,6.1206,6.0785,6.0091,5.9733,6.1294,6.2098,6.3878,5.9547,6.263,5.8409,5.9174,5.9247,5.8016
"RAB4A",10.2393333333333,10.2531666666667,10.3985333333333,10.3648,10.3464666666667,10.2629333333333,10.3922666666667,10.3346333333333,10.4842,10.4104,10.3206666666667,10.1157,10.2601666666667,10.2528,10.3281333333333,10.1185666666667,10.2301333333333,10.2898333333333,10.4276,10.2576666666667
"RAB4B",3.6057,4.0689,3.8165,3.7622,3.7522,3.3993,3.6807,4.0355,3.1785,3.0249,3.4448,4.0741,4.4684,3.778,3.156,3.1109,3.4991,3.7819,3.5777,3.6203
"RAB5A",9.4192,9.81286666666667,9.5811,9.4275,9.443,9.54946666666667,9.36563333333333,9.40406666666667,8.989,9.31073333333333,9.6093,9.56416666666667,9.80026666666667,9.56936666666667,9.4697,9.29763333333333,9.3655,9.62816666666667,9.43813333333333,9.4622
"RAB5B",10.9155,10.91,11.2122,10.9839,11.1175,10.9675,11.0969,11.0251,10.9149,10.9329,11.0375,10.9864,11.2199,10.9862,10.9362,10.9846,10.9977,11.0699,11.2191,10.7248
"RAB5C",10.22395,10.20345,10.2887,10.17055,10.29255,10.205,10.2748,10.1785,10.2265,10.2301,10.4044,10.29235,10.24415,10.44305,10.2317,10.38215,10.28385,10.04345,10.2519,10.0273
"RAB6A",8.95706,9.06866,9.18246,8.95222,8.9605,8.98776,8.95516,9.14808,8.65128,8.77008,8.94028,8.93096,9.1913,9.01148,8.84342,9.08984,8.99518,9.14076,8.89866,8.80158
"RAB6B",6.17973333333333,5.67866666666667,5.61543333333333,6.21496666666667,5.7623,5.92766666666667,6.06013333333333,5.99143333333333,6.09896666666667,5.86613333333333,6.22133333333333,5.79506666666667,5.71183333333333,6.2912,6.56193333333333,5.7461,6.00283333333333,6.21666666666667,6.17803333333333,6.22903333333333
"RAB7A",8.75771666666667,9.02961666666667,9.0361,9.00561666666667,8.8483,8.82741666666667,8.93756666666667,8.90871666666667,8.88885,8.8119,9.04308333333333,8.76286666666667,8.9726,9.01015,9.06923333333333,8.99315,8.90888333333333,8.91963333333333,8.81901666666667,8.81276666666667
"RAB7B",8.80965,8.0548,8.5159,8.33925,8.5193,8.61745,8.43715,8.69205,9.18955,8.4343,8.7358,8.32055,8.3151,8.23005,8.39155,8.3374,8.2844,8.3785,8.6484,8.6102
"RAB8A",11.02,11.2299,11.4271,11.3606,11.5121,11.4838,11.4165,11.545,10.8307,11.2559,11.311,11.0785,11.4672,11.2938,11.2198,11.2937,11.3009,11.3434,11.1897,11.1422
"RAB8B",8.08656666666667,8.1593,7.8356,8.08413333333333,8.6678,8.67143333333333,8.9473,8.45163333333333,7.50926666666667,8.6257,8.29586666666667,8.01283333333333,7.96396666666667,8.25976666666667,8.74493333333333,8.96406666666667,8.72986666666667,8.1462,7.92956666666667,8.29663333333333
"RAB9A",10.541,10.4838,10.8113,10.6286,10.6069,10.8143,10.4445,10.6071,10.6048,10.4975,10.4953,10.6282,10.6189,10.6372,10.513,10.5179,10.5106,10.4613,10.5266,10.5357
"RAB9B",6.0559,6.2711,5.6008,6.1108,6.4389,6.0696,6.1499,5.9985,5.9704,6.6718,6.4095,6.8039,5.805,6.1341,5.9688,5.8983,6.2938,5.87,7.1044,6.2816
"RAB9BP1",2.4308,2.4522,2.7178,2.6859,2.3395,2.4279,2.6429,2.6198,2.3932,2.3997,2.4843,2.4784,2.6833,2.5557,2.4513,2.6528,2.3324,2.5739,2.6583,2.4554
"RABAC1",10.5279,10.3163,10.6191,10.676,10.5479,10.4573,10.551,10.3478,10.43,10.5211,10.4412,10.4647,10.3606,10.6989,10.3016,10.6369,10.6497,10.0994,10.5054,10.2362
"RABEP1",8.40048,8.56122,8.2261,8.82004,8.30188,8.61404,8.80384,8.40422,8.4253,8.74138,8.60294,8.34162,8.37802,8.77462,8.55692,8.57324,8.856,8.31238,8.52972,8.54548
"RABEP2",7.01353333333333,6.61046666666667,7.4817,7.16033333333333,7.33203333333333,7.22876666666667,6.53953333333333,6.93726666666667,7.5603,7.04536666666667,6.6914,6.9661,7.1142,6.98853333333333,6.92073333333333,6.96153333333333,6.70926666666667,6.8528,7.11383333333333,6.7935
"RABEPK",7.6424,7.65425,7.72835,7.6665,7.59105,7.57415,7.33055,7.62745,7.6414,7.39235,7.38505,7.7849,7.68075,7.54025,7.5349,7.4324,7.40375,7.52735,7.4592,7.09625
"RABGAP1",8.42723333333333,8.73686666666667,8.5536,8.55686666666667,8.42996666666667,8.64876666666667,8.37896666666667,8.21993333333333,8.12896666666667,8.22183333333333,8.3974,8.53766666666667,8.6165,8.57866666666667,8.3834,8.5317,8.4773,8.2045,8.34493333333333,8.25726666666667
"RABGAP1L",7.34058,7.65256,7.77012,7.50136,7.73378,7.78608,7.8626,7.67282,7.7548,7.54454,7.4831,7.55258,7.78256,7.6003,7.5656,7.7329,7.6416,7.7448,7.5094,7.57726
"RABGEF1",7.3033,7.5045,7.8795,7.7806,8.0674,7.5836,6.8584,7.7083,7.7741,7.8294,7.095,7.4738,7.57,7.6992,7.7017,7.0498,7.1028,7.5154,7.2739,7.7014
"RABGGTA",8.2884,7.9937,8.5725,8.283,8.2816,8.3667,7.9603,8.5108,8.5195,8.4044,8.1389,8.3604,8.2034,8.2425,8.5881,8.0945,7.9002,8.3629,8.2318,8.3574
"RABGGTB",9.93363333333333,10.0200333333333,10.0099333333333,10.1402,10.0271333333333,9.9891,10.1357,10.0892,10.2542666666667,10.0214666666667,9.8143,10.0721,10.0646,10.0105333333333,10.1745333333333,9.89836666666667,9.9602,10.1404333333333,10.1525333333333,10.1124
"RABIF",7.73955,7.5557,7.81575,7.82305,7.82875,8.13365,7.59465,8.0031,7.94575,7.86775,7.67355,7.4421,7.6027,7.7216,8.02525,7.87625,7.6137,7.7487,7.74175,7.9836
"RABL2A",8.65135,8.6847,8.61685,8.366,8.85385,8.75725,8.77025,8.819,8.2931,8.5852,8.57655,8.56435,8.70325,8.3669,8.92765,8.851,8.8043,8.83405,8.7406,8.58915
"RABL3",8.4104,8.4569,8.59656666666667,8.71746666666667,8.47556666666667,8.55726666666667,8.5717,8.49253333333333,8.26113333333333,8.7674,8.40606666666667,8.2275,8.4532,8.52356666666667,8.63576666666667,8.52213333333333,8.40366666666667,8.37276666666667,8.458,8.72923333333333
"RABL6",7.59723333333333,7.0214,7.63166666666667,7.56833333333333,7.45123333333333,7.77113333333333,7.45166666666667,7.39583333333333,7.8672,7.1057,7.1669,7.4412,7.49553333333333,7.36346666666667,7.39456666666667,7.40906666666667,7.29633333333333,7.23663333333333,7.11446666666667,7.5034
"RAC1",11.762625,11.854825,12.06365,11.97345,12.039625,11.97495,12.045775,12.027025,11.83905,11.8443,11.915375,11.8222,12.022325,12.0439,12.0066,12.003875,11.988075,12.050875,12.04605,11.796775
"RAC2",8.1795,8.05815,7.4293,7.9334,8.779,8.4033,8.44275,8.31465,8.31585,8.3159,8.08765,8.17065,7.8227,8.1387,8.10875,8.9248,8.35355,7.79315,7.938,8.1977
"RAC3",5.8163,5.4171,5.6204,5.849,5.5125,5.7216,5.1326,5.7465,5.6982,5.7358,6.1795,5.3353,5.435,5.8366,5.5048,5.6395,5.3169,5.7102,5.5169,5.7152
"RACGAP1",10.2928,10.3047,10.9881,10.5739,10.3996,10.867,10.5203,10.6595,10.6729,10.3589,10.1559,10.3597,10.9362,10.5461,10.3557,10.5787,10.2126,10.5364,10.4126,10.6295
"RACGAP1P",3.7678,3.2374,3.3514,3.0377,3.1782,2.9654,3.3384,3.1535,3.3841,3.0778,3.2986,3.8401,3.4636,3.4078,2.9938,3.2282,3.086,3.1131,3.1564,3.086
"RAD1",8.4822,8.52028,8.83722,8.89414,8.92172,8.68302,8.70548,8.69062,8.59356,8.74534,8.41658,8.55152,8.65124,8.75822,8.67474,8.74816,8.5899,8.51364,8.56944,8.5657
"RAD17",9.16286666666667,9.20366666666667,9.16663333333333,9.1057,8.92733333333333,8.9589,8.98353333333333,8.92366666666667,9.2839,9.1091,9.023,9.19886666666667,9.21323333333333,9.20323333333333,8.993,9.0155,9.0647,8.97003333333333,9.1616,9.0853
"RAD18",6.17585,6.194525,6.568575,6.40345,6.22265,6.563575,6.568125,6.2673,6.12835,6.3057,6.1183,6.302175,6.3305,6.3028,6.263875,6.337425,6.227325,6.093575,6.356825,6.3265
"RAD21",9.8509,10.27235,10.29105,10.13135,10.1002,10.6084,10.69855,10.43445,9.91975,10.2037,10.18635,9.89705,10.3196,10.22995,10.226,10.6105,10.51885,10.41025,10.09925,10.19165
"RAD21L1",2.40005,2.4032,2.4337,2.65505,2.4954,2.32035,2.33645,2.76525,2.4742,2.7525,2.3992,2.41955,2.41675,2.56915,2.6716,2.35885,2.4085,2.5216,2.68885,2.42185
"RAD23A",9.7091,9.38925,10.1825,9.76705,9.7634,10.008,9.95275,9.84205,9.95775,9.6519,9.6032,9.58665,9.8168,9.70875,9.6846,9.92605,10.08665,9.77405,9.7164,9.5325
"RAD23B",9.7994,9.7088,9.81555,9.86155,9.743225,9.74235,9.832625,9.748825,9.69435,9.7024,9.88845,9.874325,9.970125,9.65805,9.866075,9.674925,9.7779,9.773775,9.730825,9.8515
"RAD50",8.56676666666667,8.61716666666667,8.7434,7.99773333333333,8.67676666666667,8.6648,8.35893333333333,8.64453333333333,8.9197,8.24836666666667,8.4285,8.4658,8.63963333333333,8.14743333333333,8.5302,8.51063333333333,8.40543333333333,8.41423333333333,8.59666666666667,8.2647
"RAD51",7.23035,7.03815,7.8733,6.9325,6.90075,7.5809,6.693,7.31005,7.13585,7.18745,6.9734,7.10545,7.667,6.90985,7.0886,7.12995,6.5209,7.16575,6.97345,7.47525
"RAD51-AS1",6.01425,6.0775,5.80165,5.74435,6.13395,5.9181,5.8825,5.58565,5.69265,5.69505,5.76345,5.93935,6.2072,6.07105,5.7113,6.13335,5.9637,6.0265,6.15085,5.9867
"RAD51AP1",7.3677,7.3687,8.3932,7.5325,7.522,7.8947,7.4007,8.0279,7.3603,7.8782,7.1025,7.4246,8.2159,7.3921,7.1326,7.575,6.8692,7.6324,7.2114,7.6651
"RAD51B",5.54145,5.616125,6.076825,5.511325,5.294275,5.58405,5.44675,5.3844,5.69445,5.58095,5.815875,5.597475,6.07045,5.514725,5.332875,5.3447,5.3086,5.503325,5.452075,5.399075
"RAD51C",8.7547,8.78345,8.80865,9.23035,8.75895,8.68715,8.8908,8.71575,8.6239,8.8727,8.70115,8.61815,8.7576,9.1335,8.69375,8.7091,8.82555,8.4872,8.61705,8.79555
"RAD51D",6.25975,6.21425,6.0124,6.1695,6.43535,6.2269,6.4636,6.1714,6.27895,6.38245,6.3004,6.21755,6.0519,6.3004,6.1954,6.2928,6.34415,6.1088,6.103,6.54735
"RAD51L3-RFFL",6.24835,6.5727,6.402575,6.6215,6.170725,6.618725,6.287075,6.399075,6.403625,6.3429,6.210375,6.385575,6.558675,6.37745,6.276,6.4309,6.153475,6.280125,6.1673,6.405325
"RAD52",6.73255,6.6702,6.6013,6.46835,6.489225,6.36855,6.3398,6.452775,6.40345,6.436525,6.483525,6.6762,6.682525,6.572475,6.48965,6.57885,6.518275,6.5928,6.4543,6.3984
"RAD54B",7.8904,7.7916,8.6269,7.488,7.9728,8.2287,7.5843,8.177,7.829,7.8263,7.4944,8.0148,8.2955,7.8119,8.0321,8.0246,7.6055,7.9479,7.5305,8.0788
"RAD54L",6.6433,6.6071,6.9487,6.5419,6.5424,7.1208,6.3561,7.1737,6.6408,6.5567,6.5765,6.3372,6.6406,6.638,6.6079,6.6375,6.5186,6.7403,6.3917,6.5241
"RAD54L2",7.1257,7.1765,7.34603333333333,7.20976666666667,7.1827,7.27533333333333,7.16893333333333,7.27763333333333,7.26866666666667,7.0387,7.22283333333333,7.03143333333333,7.36233333333333,7.2354,7.22503333333333,7.10416666666667,7.19793333333333,7.30526666666667,7.1418,6.92836666666667
"RAD9A",8.4403,8.4052,8.5713,8.3151,8.1759,8.1128,7.6318,8.0011,8.5427,8.005,7.7773,8.5133,8.4392,7.991,7.8581,8.0671,7.725,7.9833,8.0808,8.114
